"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ALCAM",6.82240411329164e-13,-1.17858705075939,0.546,0.709,1.71849537209703e-08
"PALD1",7.19759559975843e-13,-2.69515440980492,0.035,0.212,1.81300235562315e-08
"WIPF1",8.61501547177847e-13,-1.43482399329955,0.165,0.398,2.17003624718628e-08
"GRHL1",8.69712291141541e-13,3.49464320827342,0.205,0.042,2.19071829015643e-08
"SRGAP2B",1.05127715339787e-12,-2.48372984736894,0.061,0.249,2.6480620216939e-08
"MT-ND3",1.10621219681067e-12,1.08646144408223,0.546,0.311,2.78643790254639e-08
"BHLHE40",1.26717319068161e-12,3.08797554580228,0.208,0.044,3.19188255000791e-08
"LMNA",1.30298407949038e-12,1.33627944376407,0.445,0.222,3.28208659782832e-08
"PAX8-AS1",1.35872737823343e-12,-2.42430587298624,0.075,0.272,3.42249839303218e-08
"SIK3",1.36950928924855e-12,0.988568618146708,0.705,0.521,3.44965694868818e-08
"PIK3R1",1.91417135102837e-12,-1.26019012324395,0.153,0.39,4.82160621610536e-08
"HLA-E",2.34269137923089e-12,1.45563765703891,0.243,0.062,5.90100531514468e-08
"DAPK1",2.41456402647578e-12,-0.986612290700578,0.5,0.699,6.08204532628984e-08
"MAML3",2.9032823701823e-12,-1.11176665908648,0.301,0.556,7.31307796225219e-08
"JPX",2.92619314037672e-12,-1.64543772997007,0.136,0.351,7.37078790129492e-08
"CHD1",3.4262403991324e-12,1.68672605851022,0.477,0.259,8.6303569413746e-08
"FOXN2",3.97026260224997e-12,-1.41260594421708,0.15,0.375,1.00006944688075e-07
"RAB11FIP1",5.00493784531435e-12,1.40247056997794,0.46,0.247,1.26069379385623e-07
"ITPR2",5.22703854046288e-12,-0.862004315971368,0.538,0.743,1.31663873795719e-07
"GNA13",5.31504412623172e-12,1.86556973254609,0.448,0.252,1.33880646495651e-07
"ACYP2",5.36865613145195e-12,-1.45341644340267,0.211,0.432,1.35231079295143e-07
"KMT2E",6.08861785796886e-12,1.15616682832253,0.627,0.425,1.53366195224378e-07
"ZSWIM6",6.2107130231664e-12,0.951613015038397,0.737,0.575,1.56441650340538e-07
"USP36",6.28394330815866e-12,2.50503857346344,0.306,0.116,1.58286247989208e-07
"BBS9",7.0921133027564e-12,-1.75668792608994,0.133,0.346,1.78643241983131e-07
"SYK",7.87143968610172e-12,-1.15357463690472,0.324,0.551,1.98273694253216e-07
"PITPNA",8.11938525900516e-12,1.52996612201753,0.384,0.178,2.04519195289081e-07
"GK",8.67164242502149e-12,1.75307403542329,0.416,0.22,2.18430001043866e-07
"YBX3",8.83850978392017e-12,3.05477056007805,0.24,0.072,2.22633222947165e-07
"PPP1R15A",1.24497630660561e-11,3.13626139327258,0.231,0.067,3.13597081870886e-07
"OXSR1",1.25368356931792e-11,1.9503178009179,0.376,0.183,3.15790354275491e-07
"TG",1.30254151305626e-11,-1.64039357681047,0.124,0.328,3.28097181723742e-07
"MDFIC",1.35193192901418e-11,-1.61193750446821,0.197,0.407,3.40538133599382e-07
"FAR2",1.43012002426921e-11,-1.46048465185389,0.246,0.467,3.60232932913172e-07
"SLC9A9",1.74112462608951e-11,-1.17556281934943,0.168,0.402,4.38571882065687e-07
"ZMYM2",1.99301375127662e-11,1.45680536618222,0.564,0.375,5.02020233809067e-07
"SDCBP",2.34172823294497e-11,1.40316290792589,0.431,0.227,5.89857924596508e-07
"EMC10",2.61137464224794e-11,0.894475234963391,0.526,0.286,6.57779158635834e-07
"SLC43A2",2.73430066230906e-11,1.09107156500126,0.451,0.23,6.8874299382903e-07
"TRPM2",3.51241328629993e-11,-2.00741520954347,0.066,0.247,8.84741782686089e-07
"FCHO2",3.52300101005893e-11,-1.43149492272058,0.341,0.528,8.87408724423744e-07
"RAB1A",3.66677848579795e-11,0.99753482716509,0.627,0.452,9.23624832787646e-07
"ACTN4",4.39796405735147e-11,1.56855838724067,0.344,0.153,1.10780316640626e-06
"ANKRD44",4.78371372780486e-11,-1.04689439305239,0.329,0.546,1.20496965089677e-06
"MS4A7",5.53213724234043e-11,-1.09435813142779,0.367,0.573,1.39349004997313e-06
"PTEN",5.65631160751781e-11,-1.27553440467821,0.197,0.417,1.42476833081766e-06
"LINC00607",5.87573996551011e-11,1.88911171738971,0.327,0.141,1.48004013991234e-06
"KYNU",5.91685934688086e-11,1.04140545066015,0.604,0.417,1.49039770088582e-06
"FCHSD2",6.2071249750125e-11,-0.962906756761947,0.402,0.607,1.5635127099559e-06
"NPTN",6.4730792188123e-11,1.41991313310232,0.379,0.185,1.63050392442663e-06
