"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GMDS-DT",2.24307179596386e-08,-0.667907283723413,0.164,0.48,0.000565007354685337
"RABGAP1L",2.40666213641438e-08,-0.953066501413886,0.328,0.651,0.000606214125541419
"LPCAT1",2.67203376081316e-08,-1.1681883130678,0.156,0.451,0.000673058584011226
"ZFHX3",2.9904276526124e-08,-1.76216950648936,0.055,0.305,0.000753258821416538
"PRTG",3.30955206714313e-08,-2.09829638109841,0.047,0.286,0.000833643070192684
"MT-ND6",3.40461152429468e-08,2.25754463503412,0.227,0.075,0.000857587596854587
"MT-ATP6",3.78445994431251e-08,1.41267549582676,0.453,0.244,0.000953267615372879
"CCND3",3.79841090057119e-08,-0.882270031906293,0.195,0.511,0.000956781721744877
"UST",3.98894203904948e-08,1.1026002897634,0.648,0.511,0.00100477461021617
"C4BPA",4.18690977608771e-08,-2.258690587487,0.039,0.27,0.00105464070349873
"YBX3",4.34597551842591e-08,2.41716534230033,0.289,0.126,0.0010947077733363
"LINC01184",4.34754582329698e-08,-3.64965531231265,0.016,0.228,0.00109510331743028
"MT-ND3",4.93473590420656e-08,1.22762171052359,0.445,0.228,0.00124301062691059
"ERRFI1",5.24633494947852e-08,2.7780925104975,0.312,0.147,0.00132149931042414
"SGPP2",5.49073186878719e-08,2.22889156173886,0.367,0.195,0.00138306045042881
"DNAH5",5.79034037740532e-08,-1.82297909571825,0.086,0.336,0.00145852883766463
"AC092944.1",5.86755897497085e-08,-1.53246932304822,0.133,0.398,0.00147797943020541
"SLC24A3",6.05368313409571e-08,-3.81741991676766,0.016,0.223,0.00152486224464737
"AC112206.2",6.231006779942e-08,-2.03148782568075,0.039,0.267,0.00156952829779959
"ACTR3C",6.90550678679664e-08,-1.61537152437924,0.07,0.322,0.00173942810452621
"EPDR1",7.00105410838785e-08,-2.49045140188578,0.023,0.239,0.00176349551936182
"IL7",7.03735487652134e-08,-4.6478894823676,0.008,0.207,0.00177263931984696
"DIAPH2",7.03990275625955e-08,-0.902545709037108,0.43,0.72,0.00177328110527422
"LINC01278",7.04805130087703e-08,-1.85008896743195,0.047,0.279,0.00177533364217791
"BCAT1",7.59697665652892e-08,-2.37352977443613,0.031,0.251,0.00191360245001307
"AP002518.2",8.15405987346696e-08,-1.26485848463773,0.062,0.305,0.00205392614152759
"TGFBR2",8.5868338862152e-08,-0.827768829934826,0.266,0.568,0.00216293758759875
"DUSP1",9.466194413595e-08,-3.17698975667756,0.016,0.22,0.00238443971084045
"SCTR",9.53278439985402e-08,-2.06420133199872,0.047,0.273,0.00240121306247923
"AC092071.1",9.79291917549022e-08,-2.5515785745695,0.039,0.258,0.00246673841111423
"SCN1A-AS1",1.04059028338658e-07,-1.29680504950201,0.133,0.402,0.00262114286482245
"P3H2",1.04707145248929e-07,-0.987093229320627,0.312,0.63,0.00263746828167527
"DGKD",1.08881194665777e-07,1.35175056760994,0.555,0.429,0.00274260841243625
"CRIM1",1.13847015803944e-07,-1.26739937276546,0.141,0.416,0.00286769248108554
"RBM26",1.26618152572388e-07,-1.09263937423701,0.156,0.446,0.00318938464514589
"PTPRN2",1.33457926993552e-07,2.77544446818031,0.203,0.068,0.00336167172304059
"AL592183.1",1.37993081066914e-07,-4.01105107187793,0.016,0.213,0.00347590771899449
