"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.01118453501975e-144,1.54279866740667,0.587,0.28,7.58487272526125e-140,"0","EML4"
4.33497971491171e-143,1.76262680716822,0.44,0.142,1.09193804038911e-138,"0","PREX1"
3.09116734745656e-139,1.62881101529575,0.488,0.178,7.78634143150832e-135,"0","FLI1"
4.01814086389412e-135,2.11115362723307,0.408,0.138,1.01212950220629e-130,"0","WIPF1"
5.97846162306368e-134,1.36173470838037,0.731,0.511,1.50591469823351e-129,"0","RABGAP1L"
2.3546685252702e-133,2.24696265602964,0.35,0.101,5.9311745483031e-129,"0","ZFP36L2"
4.5027763884625e-133,2.11127019459658,0.449,0.177,1.13420434448982e-128,"0","EVL"
1.32443863824118e-132,2.63715391564232,0.349,0.107,3.33612848586571e-128,"0","MDFIC"
6.89588482789763e-130,1.29444530666457,0.581,0.271,1.73700442929913e-125,"0","FNBP1"
8.83912233595611e-128,2.61504493604084,0.25,0.053,2.22648652520398e-123,"0","BTG1"
1.7455982135678e-126,2.59047502552315,0.359,0.12,4.39698734015594e-122,"0","PCNX2"
2.67235837062826e-126,1.74530269270537,0.548,0.276,6.73140349977551e-122,"0","PDE7A"
6.13572207987612e-124,2.36843960839898,0.306,0.084,1.5455270347e-119,"0","TSPAN5"
2.11813747766318e-123,2.20352467163889,0.282,0.068,5.33537649248579e-119,"0","RCSD1"
4.52015799482354e-123,1.98488260888638,0.389,0.133,1.1385825973161e-118,"0","PLCL2"
6.52521456780059e-123,2.38754375656502,0.267,0.063,1.64363629748329e-118,"0","CD53"
6.33255179562434e-122,1.79687355794267,0.427,0.159,1.59510647179982e-117,"0","STK4"
4.81936416418702e-119,2.17968133253553,0.252,0.056,1.21394963931707e-114,"0","PTPN22"
1.48467079214143e-117,1.60557648163808,0.546,0.28,3.73973725832504e-113,"0","RASA2"
1.21130979182389e-113,2.11059573023334,0.252,0.058,3.0511682346252e-109,"0","P2RY8"
1.47420833523596e-113,1.88354675169842,0.465,0.209,3.71338337562586e-109,"0","KLF12"
1.86077323632256e-113,1.38762319654773,0.611,0.348,4.68710170497291e-109,"0","CBLB"
2.2077834090873e-112,2.06441511829241,0.36,0.125,5.56118562914999e-108,"0","SLC4A7"
2.87868675392973e-112,2.20254481513522,0.297,0.084,7.25112406447361e-108,"0","LCP2"
4.08385541534555e-112,1.69299393046553,0.52,0.255,1.02868234057139e-107,"0","CD44"
1.00049883685469e-111,1.63457718817925,0.509,0.247,2.52015652015328e-107,"0","AAK1"
1.07707219556192e-111,2.4133835707026,0.275,0.073,2.71303715340091e-107,"0","ZFYVE28"
1.18759857218481e-108,1.73590405964726,0.361,0.121,2.99144204347632e-104,"0","PIK3R5"
1.63096454782183e-107,2.18591463727481,0.267,0.07,4.10823659950841e-103,"0","LCP1"
2.47863714806879e-107,2.19385926577181,0.292,0.085,6.24343911227047e-103,"0","CRYBG1"
6.91250169897528e-107,1.76880572650309,0.333,0.106,1.74119005295488e-102,"0","NFATC2"
6.31026907872244e-105,1.68793836760401,0.375,0.137,1.58949367823939e-100,"0","SLC38A1"
9.79051469598272e-103,2.70388673061669,0.255,0.069,2.46613274677109e-98,"0","AC111170.1"
1.11785212586269e-102,2.53054420272812,0.284,0.087,2.81575771983552e-98,"0","CASP8"
1.11919053591775e-99,1.74032471630285,0.447,0.204,2.81912904092322e-95,"0","PCED1B"
6.72018877411765e-97,1.91264809012947,0.392,0.164,1.6927483503125e-92,"0","CEP85L"
2.49525480065532e-96,2.1830665541521,0.363,0.148,6.2852973173707e-92,"0","TC2N"
4.32682484855087e-96,2.29008843434299,0.292,0.095,1.08988391110148e-91,"0","ARHGEF1"
5.42973727253293e-96,1.59872071275134,0.397,0.159,1.36769652157832e-91,"0","SFMBT2"
1.45536537671018e-94,1.87528413099882,0.361,0.139,3.66591984739527e-90,"0","TXNIP"
2.0445456409382e-94,1.14358460991828,0.524,0.24,5.15000601495922e-90,"0","MT-CO1"
3.3229366723789e-91,1.1201855651191,0.412,0.171,8.37014518405521e-87,"0","CNOT6L"
7.73198859716926e-91,1.37806959816345,0.532,0.303,1.94761060774096e-86,"0","PPP2R5C"
1.98443397413264e-88,1.35696175311227,0.554,0.322,4.99859073744272e-84,"0","RUNX1"
6.11826400871816e-88,1.82830216006657,0.342,0.132,1.54112952115602e-83,"0","KAT2B"
2.30203646478422e-87,2.35885941738197,0.288,0.101,5.79859965114498e-83,"0","DIPK1A"
7.96552915764906e-87,1.47037815354407,0.511,0.287,2.00643713952022e-82,"0","PACS1"
1.04005491101061e-85,1.59536969579407,0.435,0.213,2.61979431534463e-81,"0","ATM"
8.44572703383988e-85,0.819957890034643,0.841,0.708,2.12739418255393e-80,"0","MBNL1"
9.94398320647294e-84,1.73976725241386,0.376,0.164,2.50478992987847e-79,"0","STK17B"
1.38276502995403e-83,1.30317479178291,0.383,0.157,3.48304683395122e-79,"0","SMAP2"
4.4573179721851e-79,2.13501439729762,0.294,0.11,1.1227538240137e-74,"0","PCAT1"
1.85829538112522e-78,1.43810558631235,0.336,0.128,4.68086023551631e-74,"0","XYLT1"
1.98920830796176e-78,1.95488844904089,0.337,0.145,5.01061680692488e-74,"0","SYNRG"
4.36108274342008e-78,1.67995801592952,0.355,0.148,1.09851313224008e-73,"0","MT-CYB"
5.01417902777104e-76,2.01707238984542,0.305,0.121,1.26302155530525e-71,"0","PHTF2"
1.25726416905514e-75,1.41681233802434,0.525,0.333,3.166922715433e-71,"0","SP100"
2.13269312662537e-75,1.73610391610913,0.389,0.191,5.37204071665665e-71,"0","STK39"
1.51463622919622e-74,1.13149209031832,0.64,0.486,3.81521719772237e-70,"0","TNRC6B"
2.3563742105867e-72,1.49079294221028,0.383,0.181,5.93547099904685e-68,"0","ARHGEF3"
2.5246458808039e-72,0.996560302783619,0.59,0.401,6.35933050915695e-68,"0","SMCHD1"
3.3855493641015e-72,1.02471637391793,0.697,0.546,8.52786029323527e-68,"0","ATXN1"
3.98424673570265e-72,0.989762033144184,0.667,0.495,1.00359191025614e-67,"0","FOXN3"
6.067135240501e-72,1.78993303335975,0.256,0.088,1.5282506957298e-67,"0","SORL1"
3.73465205669739e-70,1.64792709125454,0.406,0.213,9.40721506561505e-66,"0","STIM1"
1.32145677635215e-69,1.94499600558421,0.337,0.157,3.32861747395344e-65,"0","RBL2"
1.92228127038396e-65,1.18267987229391,0.419,0.201,4.84203429197016e-61,"0","MT-ND3"
4.87594863471495e-65,1.52359199902863,0.419,0.231,1.22820270159835e-60,"0","MBP"
6.04413381402336e-65,1.88504955492925,0.253,0.094,1.52245686641434e-60,"0","SYTL2"
1.13276220616438e-62,1.89937291910031,0.291,0.126,2.85331472110746e-58,"0","CCM2"
2.52625168941662e-62,1.65969383822795,0.357,0.179,6.36337538047153e-58,"0","EPB41"
1.84571165597091e-61,1.50680365999826,0.386,0.205,4.64916309022512e-57,"0","ATF7IP"
1.97377145687151e-61,1.83135821423542,0.333,0.163,4.97173292271364e-57,"0","RAP1GDS1"
2.75298159892249e-60,1.42227900612286,0.369,0.188,6.93448534952585e-56,"0","INPP4A"
5.45406404075894e-60,1.73921060385749,0.327,0.156,1.37382419122677e-55,"0","CDC14A"
2.45809489746163e-59,1.67520932011398,0.298,0.132,6.19169523721609e-55,"0","PTK2B"
1.86343269236079e-58,0.917992816659118,0.612,0.449,4.6938006087876e-54,"0","SSH2"
2.64446912866312e-58,0.879176939646878,0.391,0.217,6.66115328818953e-54,"0","RBPJ"
2.86223044582862e-58,1.37219275250653,0.435,0.255,7.20967226999771e-54,"0","MGAT5"
4.22124481554617e-58,0.999961805680194,0.622,0.489,1.06328935658792e-53,"0","LRBA"
2.07994177604061e-57,1.40241610634287,0.36,0.177,5.2391653396687e-53,"0","TOX"
2.77469347569313e-57,0.99382986395362,0.538,0.339,6.98917539592343e-53,"0","AKT3"
9.69930025771831e-57,1.33134782250433,0.428,0.255,2.44315674191667e-52,"0","AP001011.1"
2.33067204359078e-55,1.38766738000981,0.367,0.189,5.87072981060082e-51,"0","PDE3B"
