"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.8940807197463e-125,2.82843668558517,0.276,0.079,4.77099992496894e-121,"0","CASP8"
7.71953239268798e-125,2.52584107285318,0.259,0.067,1.94447301439418e-120,"0","ZFYVE28"
2.1873379324632e-123,1.99734409450445,0.45,0.214,5.50968551808155e-119,"0","MBP"
4.23136937807682e-123,1.70831407362273,0.361,0.128,1.06583963264377e-118,"0","SLC38A1"
1.0125794344998e-121,1.67806063702806,0.348,0.115,2.55058633756156e-117,"0","XYLT1"
1.56566067243517e-121,1.80237316930266,0.405,0.166,3.94374266779695e-117,"0","ARHGEF3"
2.48575047075667e-119,1.61306708386698,0.513,0.275,6.26135686078898e-115,"0","PACS1"
4.90078805070153e-116,2.01026214168679,0.381,0.155,1.23445950209121e-111,"0","CEP85L"
1.03868021978615e-113,2.17415469178567,0.271,0.079,2.61633160561934e-109,"0","CRYBG1"
2.93135262190698e-113,1.91768403031064,0.308,0.1,7.3837841193215e-109,"0","PLCB1"
4.80296567028672e-112,1.38388286172609,0.549,0.312,1.20981902268852e-107,"0","RUNX1"
5.22330761357887e-110,2.47640397792774,0.302,0.106,1.31569895478438e-105,"0","MDFIC"
3.09814347447028e-109,1.76663976342531,0.424,0.197,7.8039135978432e-105,"0","PCED1B"
4.29152068853779e-108,1.58550123176771,0.496,0.274,1.08099114623578e-103,"0","PDE7A"
8.03417365198281e-108,1.90648825656335,0.306,0.103,2.02372800119795e-103,"0","RASA3"
1.22431214753478e-107,0.832483190988765,0.842,0.702,3.08391986842535e-103,"0","MBNL1"
1.28900099386254e-107,1.11742636961686,0.676,0.484,3.24686460344036e-103,"0","FOXN3"
3.53261725641139e-107,2.25330407757224,0.269,0.082,8.89830960717466e-103,"0","SYTL2"
2.02658796083816e-106,1.80958364229641,0.393,0.174,5.10477241455524e-102,"0","INPP4A"
2.38993832802702e-106,1.86471435403338,0.418,0.201,6.02001565446726e-102,"0","STIM1"
3.221371053367e-105,1.19526065688901,0.637,0.435,8.11431154632614e-101,"0","SSH2"
1.62186417064654e-104,1.58097345302538,0.49,0.272,4.08531365944157e-100,"0","FAM49B"
2.3058032354493e-104,1.95658994200609,0.325,0.121,5.80808776977324e-100,"0","SLC4A7"
2.4417548575873e-100,1.98888992290996,0.425,0.223,6.15053631077664e-96,"0","CASK"
3.41693803871184e-100,1.51517318170477,0.524,0.324,8.60692522571124e-96,"0","SP100"
6.55588921656391e-99,2.08519770401204,0.375,0.176,1.65136293476028e-94,"0","NFATC3"
8.35404505854062e-98,1.81526477757482,0.376,0.171,2.1043004097958e-93,"0","DIP2A"
5.1444676863039e-97,1.17894630523769,0.638,0.479,1.29583996550309e-92,"0","TNRC6B"
6.59279743814224e-97,1.60791185569137,0.38,0.164,1.66065974669365e-92,"0","TOX"
6.83443518142187e-97,1.70925817800181,0.35,0.142,1.72152587784835e-92,"0","VAV3"
5.72476194566746e-94,1.22447921391713,0.501,0.283,1.44201028649418e-89,"0","EML4"
2.71835038569975e-93,2.41058640079175,0.269,0.095,6.8472527865391e-89,"0","DIPK1A"
4.64556675110577e-92,1.90772576869812,0.364,0.169,1.17017180893603e-87,"0","EPB41"
1.28547410992665e-89,2.31966648837483,0.299,0.121,3.23798073549425e-85,"0","PCNX2"
1.9784581658614e-88,1.65015457907431,0.393,0.195,4.98353827398829e-84,"0","ATF7IP"
4.40055301165171e-87,1.25812119467353,0.358,0.151,1.10845529810495e-82,"0","SMAP2"
5.75751803440854e-85,2.04100397422961,0.319,0.14,1.45026121768717e-80,"0","SYNRG"
6.82490724154605e-84,1.45180331525477,0.437,0.238,1.71912588507303e-79,"0","PTPRJ"
3.44062299590359e-82,2.1156810718745,0.325,0.15,8.66658526438155e-78,"0","RBL2"
1.70708144167678e-80,0.905774591478496,0.574,0.395,4.29996744343963e-76,"0","SMCHD1"
8.17149158359429e-79,1.09097391012796,0.538,0.329,2.05831701499157e-74,"0","AKT3"
4.02107624116469e-78,1.81887005635225,0.296,0.124,1.01286889438697e-73,"0","PTK2B"
5.69988951789413e-77,0.861394876964932,0.473,0.238,1.43574517066235e-72,"0","MT-CO1"
6.77154444286216e-77,2.01183307910347,0.326,0.156,1.70568432971255e-72,"0","RAP1GDS1"
2.09051866488265e-76,1.4205498845838,0.418,0.231,5.26580746497291e-72,"0","SH3KBP1"
1.07042552546877e-74,2.00946659933867,0.282,0.12,2.69629485610329e-70,"0","CCM2"
1.58850132566e-72,1.79916393285902,0.277,0.114,4.00127598920498e-68,"0","ADGRE5"
3.15793693732362e-71,1.71815680130271,0.268,0.108,7.95452735142448e-67,"0","MGAT4A"
5.52187286793853e-71,1.56659648414117,0.336,0.162,1.39090455670504e-66,"0","STK17B"
2.03994213633352e-68,1.38759743466592,0.438,0.26,5.13841024721052e-64,"0","CD44"
9.0383800976981e-68,1.45210900836966,0.282,0.116,2.27667756280917e-63,"0","C22orf34"
1.51065922424456e-65,0.667268583027275,0.52,0.298,3.80519951994962e-61,"0","ARHGAP26"
1.05389494567148e-61,1.87766824693291,0.301,0.151,2.65465597865189e-57,"0","TC2N"
4.38982238114015e-60,0.972212735977063,0.599,0.487,1.10575235958539e-55,"0","LRBA"
7.17821524144618e-60,1.06566952195667,0.477,0.317,1.80812063716788e-55,"0","CYTH1"
3.35129463620392e-59,1.13992381510559,0.443,0.278,8.44157605913406e-55,"0","ARAP2"
8.19540948011614e-58,1.29240356247356,0.332,0.171,2.06434169394646e-53,"0","DOCK11"
9.63523122686685e-58,1.82803761429154,0.263,0.121,2.42701839373549e-53,"0","PHTF2"
2.41303602325487e-57,1.39570258155362,0.312,0.152,6.0781964389767e-53,"0","SLC9A9"
1.77239071962368e-56,0.981588329381944,0.57,0.45,4.46447498366009e-52,"0","RNF213"
4.85271981663925e-55,1.49381500014459,0.384,0.239,1.22235159461326e-50,"0","SUCLG2"
5.34139442782019e-55,1.09694993123456,0.368,0.203,1.34544384242363e-50,"0","TNIK"
5.63886330498226e-55,1.23672095583379,0.403,0.252,1.42037327789198e-50,"0","AP001011.1"
2.09562332135781e-53,1.338342613305,0.269,0.123,5.27866558416818e-49,"0","IFI16"
3.37992795157482e-53,1.47555594957073,0.289,0.144,8.51370051722183e-49,"0","TMEM131L"
1.3379338708517e-52,0.365638217246419,0.831,0.626,3.37012162728835e-48,"0","CELF2"
6.76379279222752e-52,0.587001851478282,0.771,0.682,1.70373176643419e-47,"0","UTRN"
1.78970791566649e-50,1.89005994544728,0.252,0.123,4.50809526877232e-46,"0","TNRC6C"
1.96120712829051e-50,1.62465162656294,0.278,0.143,4.94008463545096e-46,"0","TMEM181"
3.11135174104073e-50,1.63566039446123,0.307,0.171,7.83718390050749e-46,"0","PRMT2"
6.17474464508855e-50,0.857068162053402,0.64,0.551,1.55535642865135e-45,"0","ATXN1"
3.79590530871864e-49,1.3936759696624,0.373,0.238,9.56150588213137e-45,"0","RAPGEF6"
3.91041287033139e-49,1.099579042963,0.321,0.168,9.84993897907774e-45,"0","NCALD"
3.91613537436229e-49,0.833120841611235,0.367,0.197,9.86435339448117e-45,"0","MT-CO2"
4.62207212051109e-48,1.21463568902745,0.335,0.188,1.16425374643554e-43,"0","PDE3B"
3.85842996089017e-47,1.65096686673853,0.286,0.157,9.71899922848624e-43,"0","STK17A"
4.529844075836e-47,1.57492398266377,0.29,0.158,1.14102242426233e-42,"0","PRPF38B"
3.4651933321071e-46,1.33589511470595,0.293,0.151,8.72847548424457e-42,"0","MT-CYB"
8.03165177202382e-46,1.26505082541596,0.429,0.305,2.02309276485508e-41,"0","CCDC91"
9.73714105182854e-46,1.54198126770317,0.288,0.156,2.45268845954509e-41,"0","CDC14A"
3.29476766338324e-45,1.63931234952118,0.251,0.127,8.29919026729604e-41,"0","GALNT10"
6.4272495942578e-45,0.936845773707303,0.463,0.331,1.6189599002976e-40,"0","ARL15"
8.4066122646638e-45,1.47321628459537,0.257,0.131,2.11754156334617e-40,"0","VOPP1"
